transaction_id,date,region,product_category,revenue,material_cost,shipping_cost
100134,1/16/2024,APAC,SaaS Subscriptions,5455.99,591.15,98.32
100135,1/16/2024,APAC,Edge Hardware Platforms,24457.92,10410.98,3063.18
100136,1/16/2024,Europe,Edge Hardware Platforms,26771.65,10077.02,3513.29
100137,1/16/2024,Europe,Enterprise Cloud Software,12362.47,1865.44,643.74
100138,1/16/2024,APAC,Enterprise Cloud Software,10061.04,1639.55,485.01
100139,1/16/2024,Europe,Edge Hardware Platforms,19085.36,7708.35,2312.65
100140,1/16/2024,North America,Edge Hardware Platforms,11757.36,4363.23,1270.56
100141,1/16/2024,North America,Edge Hardware Platforms,22122.04,9369.64,2445.83
100142,1/17/2024,APAC,SaaS Subscriptions,2745.78,287.26,59.73
100143,1/17/2024,North America,Enterprise Cloud Software,12411.21,1889.41,662.99
100144,1/17/2024,North America,Edge Hardware Platforms,14032.55,5235.44,1570.84
100145,1/17/2024,APAC,Edge Hardware Platforms,20461.31,7953.44,2640.59
100146,1/17/2024,North America,SaaS Subscriptions,4634.81,452.07,92
100147,1/17/2024,North America,Edge Hardware Platforms,20054.41,7592.14,2598.85
100148,1/17/2024,North America,Edge Hardware Platforms,28129.44,11531.36,3116.9
100149,1/17/2024,APAC,Edge Hardware Platforms,16698.11,6197.37,2121.61
100150,1/17/2024,Europe,Edge Hardware Platforms,27877.85,11794.78,3112.29
100151,1/18/2024,Europe,Edge Hardware Platforms,12862.56,4841,1609.59
100152,1/18/2024,Europe,Edge Hardware Platforms,12058.32,4858.52,1411.93
100153,1/18/2024,Europe,Edge Hardware Platforms,20045.77,8082.23,2398.93
100154,1/18/2024,Europe,Edge Hardware Platforms,10244.06,4178.3,1245.39
100155,1/18/2024,Europe,Edge Hardware Platforms,26535.98,11588.95,3084.03
100156,1/19/2024,Europe,Edge Hardware Platforms,28945.67,10775.55,3533.38
100157,1/19/2024,Europe,Edge Hardware Platforms,10362.2,4453.36,1350.93
100158,1/19/2024,Europe,Edge Hardware Platforms,28449.99,11851.67,3176.75
100159,1/19/2024,Europe,Edge Hardware Platforms,18482.61,7742.65,2410.59
100160,1/19/2024,APAC,Edge Hardware Platforms,12264.76,5381.62,1571.53
100161,1/19/2024,North America,SaaS Subscriptions,7219.38,724.66,147.02
100162,1/19/2024,North America,Enterprise Cloud Software,8351.97,1328.68,376.23
100163,1/19/2024,North America,Edge Hardware Platforms,20747.91,8996.05,2413.24
100164,1/19/2024,North America,Edge Hardware Platforms,19044.36,7198.17,2263.58
100165,1/19/2024,North America,Enterprise Cloud Software,9983.68,1473.27,540.6
100166,1/20/2024,APAC,Enterprise Cloud Software,7200.97,1018.08,361.14
100167,1/20/2024,APAC,Edge Hardware Platforms,21146.11,9068.52,2555.33
100168,1/20/2024,North America,Enterprise Cloud Software,8099.37,1189.96,399.04
100169,1/20/2024,APAC,Edge Hardware Platforms,19364.64,7939.47,2266.93
100170,1/20/2024,APAC,Edge Hardware Platforms,15880.89,6624.31,1916.24
100171,1/21/2024,Europe,Edge Hardware Platforms,21192.81,7892.61,2381.36
100172,1/21/2024,APAC,SaaS Subscriptions,4239.86,404.55,87.24
100173,1/21/2024,Europe,Enterprise Cloud Software,6561.53,1026.74,338.5
100174,1/21/2024,North America,Enterprise Cloud Software,7310.75,1134.31,330.42
100175,1/21/2024,North America,Edge Hardware Platforms,13570.89,5594.19,1543.23
100176,1/21/2024,North America,Enterprise Cloud Software,12222.67,1963.83,651.5
100177,1/21/2024,North America,Edge Hardware Platforms,14099.69,5406.55,1826.08
100178,1/21/2024,North America,Enterprise Cloud Software,7078.86,961.28,331.39
100179,1/21/2024,Europe,Edge Hardware Platforms,27853.43,11848.72,3236.67
100180,1/21/2024,North America,Edge Hardware Platforms,21805.9,8317.75,2681.68
100181,1/22/2024,APAC,Edge Hardware Platforms,27221.36,10277.72,3576.59
100182,1/22/2024,APAC,Enterprise Cloud Software,10657.77,1753.85,529.8
100183,1/22/2024,North America,Edge Hardware Platforms,20249.15,8491.18,2526.53
100184,1/22/2024,Europe,Enterprise Cloud Software,11450.54,1690.69,530.42
100185,1/22/2024,APAC,Edge Hardware Platforms,23663.68,10076.15,2856.49
100186,1/22/2024,APAC,Edge Hardware Platforms,11343.51,4451.42,1360.53
100187,1/22/2024,Europe,Enterprise Cloud Software,6400.19,914.65,305.06
100188,1/22/2024,Europe,Enterprise Cloud Software,11330.98,1697.7,574.85
100189,1/22/2024,APAC,Edge Hardware Platforms,25418.23,10008.76,2961.04
100190,1/22/2024,APAC,Enterprise Cloud Software,5903.37,933.5,269.68
100191,1/23/2024,North America,Edge Hardware Platforms,24380.92,9356.66,2964.57
100192,1/23/2024,Europe,Edge Hardware Platforms,28736.59,12029.3,3251.79
100193,1/23/2024,North America,Enterprise Cloud Software,10950.78,1495.25,547.14
100194,1/23/2024,Europe,Edge Hardware Platforms,25418.24,9367.33,2791.01
100195,1/23/2024,Europe,Edge Hardware Platforms,23768.05,9383.3,2707.51
100196,1/23/2024,APAC,Edge Hardware Platforms,23893.93,9122.02,2919.01
100197,1/23/2024,North America,Enterprise Cloud Software,14173.14,1971.55,772.47
100198,1/23/2024,Europe,Enterprise Cloud Software,10419.01,1679.42,545.15
100199,1/23/2024,APAC,Edge Hardware Platforms,23845.53,10204.35,2718.2
100200,1/23/2024,Europe,Enterprise Cloud Software,14876.68,2429.69,675.32
100201,1/23/2024,Europe,SaaS Subscriptions,3083.45,312.54,66.79
100202,1/23/2024,North America,Edge Hardware Platforms,15946.98,6920.22,2093.92
100203,1/23/2024,APAC,Edge Hardware Platforms,27240.85,11647.21,3150.63
100204,1/23/2024,APAC,Enterprise Cloud Software,10962.7,1555.61,506.54
100205,1/23/2024,North America,Edge Hardware Platforms,16797.5,7021.04,1840.48
100206,1/24/2024,Europe,Edge Hardware Platforms,16375.05,6714.94,2116.7
100207,1/24/2024,Europe,Enterprise Cloud Software,5244.01,844.83,237.1
100208,1/24/2024,APAC,Edge Hardware Platforms,28781.35,12200.49,3797.71
100209,1/24/2024,North America,Edge Hardware Platforms,18038.62,7186.41,2219.83
100210,1/24/2024,APAC,SaaS Subscriptions,6609.64,650.09,130.11
100211,1/24/2024,Europe,Enterprise Cloud Software,6104.74,889.09,292.25
100212,1/24/2024,North America,Enterprise Cloud Software,5420.93,734.73,297.49
100213,1/24/2024,Europe,Edge Hardware Platforms,23592.95,8905.4,3085.94
100214,1/24/2024,APAC,Enterprise Cloud Software,9175.81,1480.73,499.6
100215,1/24/2024,Europe,Edge Hardware Platforms,13340.68,5860.47,1514.97
100216,1/24/2024,APAC,Edge Hardware Platforms,22154.74,8884.38,2515.36
100217,1/24/2024,North America,Enterprise Cloud Software,6864.38,1087.23,332.93
100218,1/25/2024,Europe,Enterprise Cloud Software,10182.6,1557.11,511.68
100219,1/25/2024,North America,Edge Hardware Platforms,19823.73,8716.63,2567.94
100220,1/25/2024,Europe,Edge Hardware Platforms,24957.43,9054.29,3231.44
100221,1/25/2024,APAC,Edge Hardware Platforms,17823.4,6805.63,2128.83
100222,1/25/2024,North America,SaaS Subscriptions,2212.53,213.69,48.07
100223,1/25/2024,Europe,Enterprise Cloud Software,7526.49,1017.22,391.05
100224,1/25/2024,North America,Edge Hardware Platforms,29242.44,10783.37,3785.95
100225,1/25/2024,APAC,Enterprise Cloud Software,13829.06,2081.03,747.67
100226,1/25/2024,Europe,Edge Hardware Platforms,20875.58,8958.95,2622.26
100227,1/26/2024,APAC,Edge Hardware Platforms,27011.63,11598.35,3376.47
100228,1/26/2024,APAC,Edge Hardware Platforms,23602.82,9665.09,2975.49
100229,1/26/2024,North America,SaaS Subscriptions,7231.06,655.03,154.05
100230,1/26/2024,North America,Edge Hardware Platforms,24870.17,9273.11,3174.21
100231,1/26/2024,APAC,Edge Hardware Platforms,10127.72,3878.54,1243.75
100232,1/26/2024,APAC,Edge Hardware Platforms,15196.07,6241.34,1838.11
100233,1/26/2024,APAC,Enterprise Cloud Software,12610.28,1907.15,688.9
100234,1/26/2024,North America,Edge Hardware Platforms,28640.56,10545.48,3737.41
100235,1/26/2024,Europe,Enterprise Cloud Software,8009.64,1251.47,365.83
100236,1/26/2024,Europe,Edge Hardware Platforms,22418.31,8152.63,2890.1
100237,1/26/2024,APAC,SaaS Subscriptions,6497.91,601.72,136.67
100238,1/26/2024,North America,Enterprise Cloud Software,8236.1,1232.61,434.08
100239,1/27/2024,North America,Enterprise Cloud Software,9685.39,1581.91,445.74
100240,1/27/2024,APAC,Edge Hardware Platforms,26518.42,10179.62,3398.57
100241,1/27/2024,APAC,Enterprise Cloud Software,6313.35,1016.71,344.91
100242,1/27/2024,North America,Edge Hardware Platforms,28190.49,12082.13,3697.14
100243,1/27/2024,APAC,Edge Hardware Platforms,16239.04,6262.74,2036.15
100244,1/27/2024,Europe,Enterprise Cloud Software,13681.23,2140.4,692.65
100245,1/27/2024,Europe,Edge Hardware Platforms,13184.91,4961.43,1452.82
100246,1/27/2024,North America,Edge Hardware Platforms,20607.09,7448,2619.64
100247,1/27/2024,North America,SaaS Subscriptions,7805.07,731.41,154.92
100248,1/27/2024,North America,Edge Hardware Platforms,22146.13,8411.17,2688.58
100249,1/27/2024,North America,Enterprise Cloud Software,11515.19,1667.14,586.15
100250,1/27/2024,Europe,SaaS Subscriptions,2897.48,287.7,60.04
100251,1/27/2024,North America,SaaS Subscriptions,6331.33,653.01,133.14
100252,1/27/2024,APAC,SaaS Subscriptions,6345.71,666.19,117.93
100253,1/28/2024,Europe,Enterprise Cloud Software,9823.56,1388.17,476.05
100254,1/28/2024,APAC,SaaS Subscriptions,2434.5,245.12,52.42
100255,1/28/2024,North America,SaaS Subscriptions,4146.81,399.93,90.86
100256,1/28/2024,North America,Edge Hardware Platforms,26428.81,9601.45,3279.53
100257,1/28/2024,APAC,Enterprise Cloud Software,13962.21,2134.03,714.39
100258,1/28/2024,Europe,Enterprise Cloud Software,14352.02,2345.41,735.58
100259,1/28/2024,APAC,Edge Hardware Platforms,19687.97,8128.49,2387.6
100260,1/28/2024,Europe,Edge Hardware Platforms,19618.08,7126.47,2195.97
100261,1/28/2024,Europe,Edge Hardware Platforms,21865.57,9009.13,2612.99
100262,1/28/2024,Europe,Edge Hardware Platforms,19403.65,8140.65,2501.6
100263,1/28/2024,Europe,Enterprise Cloud Software,6616.73,897.4,340.98
100264,1/28/2024,North America,Edge Hardware Platforms,19865.54,7281.16,2337.74
100265,1/28/2024,North America,Edge Hardware Platforms,14071.57,6011.88,1578.56
100266,1/29/2024,Europe,Edge Hardware Platforms,18509.87,7175.81,2163.9
100267,1/29/2024,APAC,Enterprise Cloud Software,13670.31,2082.81,675.12
100268,1/29/2024,Europe,Edge Hardware Platforms,27468.46,11867.92,3244.61
100269,1/29/2024,North America,Edge Hardware Platforms,28247.27,10645.07,3473.04
100270,1/29/2024,Europe,Edge Hardware Platforms,12631.35,5270.63,1639.76
100271,1/29/2024,North America,Enterprise Cloud Software,14713.95,2066.27,787.84
100272,1/29/2024,Europe,Enterprise Cloud Software,13707.5,2033.63,687.41
100273,1/29/2024,North America,Edge Hardware Platforms,13270.48,5192.56,1741.96
100274,1/29/2024,North America,Edge Hardware Platforms,16503.8,6962.59,1834.25
100275,1/30/2024,Europe,Enterprise Cloud Software,5734.97,803.43,287.88
100276,1/30/2024,North America,SaaS Subscriptions,4585.33,435.49,93.86
100277,1/30/2024,Europe,Enterprise Cloud Software,6676.19,908.63,349.59
100278,1/30/2024,Europe,Edge Hardware Platforms,26883.41,11410.76,3281.08
100279,1/30/2024,APAC,Enterprise Cloud Software,6119.2,875.61,278.86
100280,1/30/2024,Europe,SaaS Subscriptions,2236.06,206.71,44.29
100281,1/30/2024,APAC,Edge Hardware Platforms,20144.7,7319.09,2247.35
100282,1/30/2024,APAC,SaaS Subscriptions,2029.64,221.3,41.72
100283,1/30/2024,APAC,Edge Hardware Platforms,20311.92,8106.64,2518.77
100284,1/30/2024,North America,Enterprise Cloud Software,8079.3,1261.51,379.88
100285,1/30/2024,Europe,SaaS Subscriptions,2563.4,265.19,50.69
100286,1/31/2024,APAC,Enterprise Cloud Software,11616.32,1909.25,566.21
100287,1/31/2024,North America,Enterprise Cloud Software,13308.77,2141.89,701.18
100288,1/31/2024,North America,Edge Hardware Platforms,28373.56,11577.8,3705.05
100289,1/31/2024,APAC,Edge Hardware Platforms,21543.7,8356.5,2409.08
100290,1/31/2024,Europe,Edge Hardware Platforms,27328.77,12010.09,3445.02
100291,1/31/2024,North America,Enterprise Cloud Software,6091.1,941.17,320.71
100292,1/31/2024,APAC,Edge Hardware Platforms,28027.51,12058.31,3240.34
100293,1/31/2024,APAC,Edge Hardware Platforms,15937.39,6565.02,1846.84
100294,1/31/2024,Europe,Edge Hardware Platforms,21268.78,8304.05,2577.01
100295,2/1/2024,North America,Edge Hardware Platforms,14545.39,5321.51,1781.56
100296,2/1/2024,Europe,Edge Hardware Platforms,19269.88,7522.63,2480.42
100297,2/1/2024,Europe,Edge Hardware Platforms,10512.84,4071.62,1231.31
100298,2/1/2024,North America,Edge Hardware Platforms,20672.05,8447.27,2612.06
100299,2/1/2024,APAC,Edge Hardware Platforms,29110.47,10522.23,3280.71
100300,2/2/2024,APAC,Enterprise Cloud Software,14546.6,2249.5,709.88
100301,2/2/2024,North America,Edge Hardware Platforms,13891.17,5185.66,1706.06
100302,2/2/2024,Europe,Edge Hardware Platforms,28592.12,11510.64,3486.59
100303,2/2/2024,North America,Edge Hardware Platforms,17998.1,7885.65,2299.37
100304,2/2/2024,Europe,Enterprise Cloud Software,13594.16,2161.38,636.83
100305,2/2/2024,North America,Edge Hardware Platforms,13704.57,5939.84,1619.72
100306,2/2/2024,North America,SaaS Subscriptions,4241.06,426.35,78.24
100307,2/2/2024,North America,Edge Hardware Platforms,20303.5,8273.33,2579.56
100308,2/2/2024,Europe,Enterprise Cloud Software,8607.73,1395.97,453.62
100309,2/2/2024,Europe,Enterprise Cloud Software,8020.61,1258.9,429.2
100310,2/2/2024,Europe,SaaS Subscriptions,6599.94,613.76,129.99
100311,2/3/2024,North America,Edge Hardware Platforms,27255.94,10284.73,3006.25
100312,2/3/2024,North America,Edge Hardware Platforms,22141.88,8939.47,2514.58
100313,2/3/2024,North America,Edge Hardware Platforms,19935.34,8752.07,2218.3
100314,2/3/2024,Europe,Edge Hardware Platforms,18563.99,7748.75,2313.42
100315,2/3/2024,APAC,Enterprise Cloud Software,6041.1,946.82,306.79
100316,2/3/2024,North America,Enterprise Cloud Software,5856.58,947.75,274.78
100317,2/3/2024,North America,Enterprise Cloud Software,8549.96,1172.05,429.13
100318,2/3/2024,North America,SaaS Subscriptions,3402.27,342.95,73.22
100319,2/3/2024,Europe,Edge Hardware Platforms,16486.68,6374.41,2045.46
100320,2/4/2024,North America,Edge Hardware Platforms,29909.61,11835.48,3469.68
100321,2/4/2024,Europe,Enterprise Cloud Software,14616.66,2251.68,768.08
100322,2/4/2024,North America,Edge Hardware Platforms,18453.78,7856.6,1993.56
100323,2/4/2024,North America,SaaS Subscriptions,4849.32,473.54,89.61
100324,2/4/2024,APAC,Enterprise Cloud Software,12371.8,1955.46,586.88
100325,2/4/2024,Europe,Enterprise Cloud Software,7570.47,1200.96,406.13
100326,2/4/2024,Europe,Edge Hardware Platforms,13186.08,4813.56,1461.33
100327,2/4/2024,North America,Edge Hardware Platforms,17618.19,6830.67,2003.85
100328,2/4/2024,Europe,SaaS Subscriptions,3678.22,400.37,79.06
100329,2/4/2024,North America,Edge Hardware Platforms,21491.75,8711.17,2522.81
100330,2/4/2024,Europe,Edge Hardware Platforms,20794.65,8530.71,2582.35
100331,2/5/2024,APAC,SaaS Subscriptions,6740.18,647.69,123.5
100332,2/5/2024,Europe,Enterprise Cloud Software,11949.51,1737.26,654.31
100333,2/5/2024,Europe,SaaS Subscriptions,2795.15,299.75,60.63
100334,2/5/2024,Europe,Edge Hardware Platforms,25296.2,9460.45,3037.1
100335,2/5/2024,North America,Enterprise Cloud Software,8675.34,1188.91,392.63
100336,2/5/2024,North America,SaaS Subscriptions,5297.18,579.07,104.51
100337,2/5/2024,North America,Edge Hardware Platforms,18790.23,6923.32,2318.34
100338,2/5/2024,North America,Edge Hardware Platforms,23004.02,8561.22,2518.31
100339,2/5/2024,APAC,Edge Hardware Platforms,11163.28,4907.26,1221.11
100340,2/5/2024,Europe,SaaS Subscriptions,3435.08,318.93,63.5
100341,2/5/2024,North America,Enterprise Cloud Software,11921.61,1631.7,597.2
100342,2/5/2024,APAC,SaaS Subscriptions,5691.32,547.08,116.65
100343,2/5/2024,Europe,Edge Hardware Platforms,12614.21,5435.82,1498.5
100344,2/5/2024,North America,Edge Hardware Platforms,18282.6,7792.1,2296.42
100345,2/6/2024,APAC,Enterprise Cloud Software,6338.04,935.22,335.3
100346,2/6/2024,Europe,Edge Hardware Platforms,13793.9,5648.82,1596.84
100347,2/6/2024,APAC,Edge Hardware Platforms,13977.13,5104.02,1523.83
100348,2/6/2024,North America,Enterprise Cloud Software,11460.9,1718.91,546.23
100349,2/6/2024,North America,Enterprise Cloud Software,13646.6,1941.97,703.03
100350,2/6/2024,APAC,Edge Hardware Platforms,27191.3,10642.44,3560.68
