TRANSACTION_ID,DATE,QUARTER,REGION,PRODUCT_CATEGORY,REVENUE,MATERIAL_COST,SHIPPING_COST
100025,06-02-2025,Q4,North America,Enterprise Cloud Software,9271.08,1479.11,497
100026,07-02-2025,Q4,North America,Edge Hardware Platforms,18348.22,6931.38,2034.39
100027,08-02-2025,Q4,North America,SaaS Subscriptions,3939.22,395.4,81.98
100028,09-02-2025,Q4,North America,SaaS Subscriptions,7774.68,738.87,155.41
100029,10-02-2025,Q4,North America,Enterprise Cloud Software,5368.87,822.98,268.59
100030,11-02-2025,Q4,North America,Enterprise Cloud Software,14082.66,2002.37,654.12
100031,12-02-2025,Q4,Europe,SaaS Subscriptions,3452.33,357.12,72.66
100032,13-02-2025,Q4,North America,SaaS Subscriptions,4821.8,528.8,94.48
100033,14-02-2025,Q4,APAC,Edge Hardware Platforms,13014.35,5214.28,1622.88
100034,15-02-2025,Q1,APAC,Edge Hardware Platforms,14404.82,6005.25,1835.58
100035,16-02-2025,Q1,North America,Enterprise Cloud Software,14405.23,2116.52,722.82
100036,17-02-2025,Q1,APAC,Edge Hardware Platforms,24704.32,9306.75,2989.09
100037,18-02-2025,Q2,Europe,Enterprise Cloud Software,6749.55,1110.07,338.6
100038,19-02-2025,Q2,North America,SaaS Subscriptions,7792.52,788.34,167.78
100039,20-02-2025,Q2,North America,Enterprise Cloud Software,12003.58,1925.37,642.95
100040,21-02-2025,Q3,Europe,SaaS Subscriptions,7105.57,772.47,150.22
100041,22-02-2025,Q3,Europe,Edge Hardware Platforms,17445.66,7592.54,2291.8
100042,23-02-2025,Q3,North America,Edge Hardware Platforms,19712.28,7803.58,2599.4
100043,24-02-2025,Q4,North America,Enterprise Cloud Software,9938.94,1395.08,483.68
100044,25-02-2025,Q4,Europe,Edge Hardware Platforms,16161.22,6519.49,1942.77
100045,26-02-2025,Q4,Europe,Enterprise Cloud Software,10898.71,1791.39,543.49
100046,27-02-2025,Q1,APAC,Edge Hardware Platforms,17001.57,6997.99,2109.12
100047,28-02-2025,Q1,North America,Edge Hardware Platforms,15615.45,5651.94,1928.37
100048,01-03-2025,Q1,North America,SaaS Subscriptionss,7723.57,836.44,150.46
100049,02-03-2025,Q1,North America,SaaS Subscriptionss,4569.1,499.55,99.86
100050,03-03-2025,Q1,APAC,Enterprise Cloud Software,8850.98,1420.88,426.34
100051,04-03-2025,Q2,North America,Edge Hardware Platforms,28723.1,11939.69,3495.07
100052,05-03-2025,Q4,North America,Edge Hardware Platforms,17172.94,6531.44,1976.38
100053,06-03-2025,Q4,North America,SaaS Subscriptions,2819.73,293.75,56.99
100054,07-03-2025,Q4,North America,Edge Hardware Platforms,15124.14,6184.58,1663.02
100055,08-03-2025,Q4,North America,Edge Hardware Platforms,13885.48,5077.58,1631.86
100056,09-03-2025,Q3,North America,SaaS Subscriptions,2165.7,219.99,42.78
100057,10-03-2025,Q3,Europe,Edge Hardware Platforms,13100.83,5745.33,1678.67
100058,11-03-2025,Q3,APAC,Enterprise Cloud Software,5388.35,776.45,271.42
100059,12-03-2025,Q3,North America,SaaS Subscriptions,3629.26,396.7,71.96
100060,13-03-2025,Q2,APAC,Enterprise Cloud Software,9113.54,1421.58,422.72
100061,14-03-2025,Q1,North America,SaaS Subscriptions,6287.57,571.05,123.21
100062,15-03-2025,Q1,Europe,Edge Hardware Platforms,15017.21,5627.65,1651.01
100063,16-03-2025,Q1,Europe,Edge Hardware Platforms,11163.87,4836.38,1324.22
100064,17-03-2025,Q1,Europe,Edge Hardware Platforms,15598.68,6807.1,1960.9
100065,18-03-2025,Q1,Europe,Edge Hardware Platforms,18392,6985.62,2143.47
100066,19-03-2025,Q1,APAC,Enterprise Cloud Software,6160.73,840.2,279.74
100067,20-03-2025,Q1,APAC,Edge Hardware Platforms,19483.48,7166.54,2334.1
100068,21-03-2025,Q1,Europe,Enterprise Cloud Software,9338.52,1372.34,477.74
100069,22-03-2025,Q1,Europe,Enterprise Cloud Software,8746.13,1344.94,437.58
100070,23-03-2025,Q1,APAC,Edge Hardware Platforms,13258.69,4847.98,1636.36
100071,24-03-2025,Q1,North America,Edge Hardware Platforms,28804.6,11695.76,3379.24
100072,25-03-2025,Q1,Europe,Edge Hardware Platforms,20912.34,9103.5,2452.32
100073,26-03-2025,Q1,APAC,SaaS Subscriptions,3174.75,290.13,58.43
100074,27-03-2025,Q2,North America,Edge Hardware Platforms,16731.08,6900.86,1961.71
100075,28-03-2025,Q2,Europe,Edge Hardware Platforms,15213.89,6080.73,1896.1
100076,29-03-2025,Q2,North America,SaaS Subscriptions,2235.12,219.84,48.88
100077,30-03-2025,Q2,Europe,Edge Hardware Platforms,21370.41,8677.97,2683.26
100078,31-03-2025,Q2,North America,Enterprise Cloud Software,10805.44,1739.82,546.96
100079,01-04-2025,Q2,North America,Edge Hardware Platforms,24798.18,9399.97,2903.01
100080,02-04-2025,Q2,Europe,SaaS Subscriptions,3920.3,423.04,76.67
100081,03-04-2025,Q2,North America,SaaS Subscriptions,2547.72,245.57,55.54
100082,04-04-2025,Q2,APAC,Edge Hardware Platforms,22636.74,8961.33,2604.06
100083,05-04-2025,Q2,North America,Edge Hardware Platforms,25047.49,10603.26,3179.8
100084,06-04-2025,Q2,North America,Edge Hardware Platforms,11151.18,4504.66,1322.49
100085,07-04-2025,Q2,Europe,Edge Hardware Platforms,29373.04,12191.06,3762.31
100086,08-04-2025,Q2,APAC,SaaS Subscriptions,4556.55,430.37,89.25
100087,09-04-2025,Q3,APAC,Enterprise Cloud Software,10133.26,1438.89,514.9
100088,10-04-2025,Q3,APAC,SaaS Subscriptions,3420.11,369.9,69.66
100089,11-04-2025,Q3,North America,Edge Hardware Platforms,19633.34,7661.7,2452.64
100090,12-04-2025,Q3,North America,Edge Hardware Platforms,18689.04,7107.34,2200.16
100091,13-04-2025,Q3,Europe,Edge Hardware Platforms,25343.9,10792.02,3189.81
100092,14-04-2025,Q3,Europe,Enterprise Cloud Software,9002.23,1344.32,412.56
100093,15-04-2025,Q3,Europe,Edge Hardware Platforms,26042.18,11412.52,3160.07
100094,16-04-2025,Q3,North America,Enterprise Cloud Software,14246.43,2316.09,677.13
100095,17-04-2025,Q3,Europe,Enterprise Cloud Software,6662.15,942.72,319.42
100096,18-04-2025,Q3,Europe,Edge Hardware Platforms,28023.16,10190.22,3215.46
100097,19-04-2025,Q3,APAC,SaaS Subscriptions,4733.94,484.77,90.46
100098,20-04-2025,Q3,North America,Edge Hardware Platforms,17067.04,6941.04,1875.08
100099,21-04-2025,Q3,APAC,SaaS Subscriptions,6188.97,623.36,119.06
100100,22-04-2025,Q4,APAC,Edge Hardware Platforms,13252.34,5736.6,1692.87
100101,23-04-2025,Q1,Europe,Edge Hardware Platforms,28383.53,10405.97,3662.61
100102,24-04-2025,Q2,Europe,Enterprise Cloud Software,9112.55,1442.77,453.84
100103,25-04-2025,Q1,APAC,Edge Hardware Platforms,24991.57,9782.68,3196.42
100104,26-04-2025,Q1,Europe,Enterprise Cloud Software,5368.22,746.27,242.3
100105,27-04-2025,Q3,North America,Edge Hardware Platforms,20686.93,8688.36,2687.56
100106,28-04-2025,Q1,Europe,Edge Hardware Platforms,25141.62,9810.97,2860.77
100107,29-04-2025,Q2,North America,SaaS Subscriptions,5637.05,533.11,116.61
100108,30-04-2025,Q1,Europe,Edge Hardware Platforms,12271.15,5076.89,1478.52
100109,01-05-2025,Q1,APAC,Edge Hardware Platforms,27043.63,10929.75,3284.79
100110,02-05-2025,Q1,APAC,Edge Hardware Platforms,12680.3,4594.11,1599.28
100111,03-05-2025,Q3,Europe,Edge Hardware Platforms,14259.28,5288.91,1544.98
100112,04-05-2025,Q1,North America,Edge Hardware Platforms,17844.88,7048.69,2314.48
100113,05-05-2025,Q1,North America,Edge Hardware Platforms,25673.06,10056.74,3155.99
100114,06-05-2025,Q1,APAC,SaaS Subscriptions,2882.44,312.84,57.56
100115,07-05-2025,Q1,North America,Edge Hardware Platforms,29600.65,11822.78,3430.42
100116,08-05-2025,Q4,Europe,Enterprise Cloud Software,5758.63,799.68,266.51
100117,09-05-2025,Q4,North America,Enterprise Cloud Software,11408.75,1602.43,552.83
100118,10-05-2025,Q3,APAC,Edge Hardware Platforms,23351.15,8728.32,2629.69
100119,11-05-2025,Q3,North America,Enterprise Cloud Software,7785.9,1092.44,357.27
100120,12-05-2025,Q1,Europe,Edge Hardware Platforms,27884.35,10325.57,3232.42
100121,13-05-2025,Q1,North America,Enterprise Cloud Software,9811.45,1526.99,491.72
100122,14-05-2025,Q1,North America,Edge Hardware Platforms,10051.9,4316.93,1105.99
100123,15-05-2025,Q2,Europe,SaaS Subscriptions,5219.54,566.22,98.88
100124,16-05-2025,Q1,APAC,Edge Hardware Platforms,24410.32,8909.46,2722.87
100125,17-05-2025,Q1,Europe,SaaS Subscriptions,5070.06,510.26,93.43
100126,18-05-2025,Q2,Europe,Edge Hardware Platforms,14849.41,5665.64,1738.2
100127,19-05-2025,Q2,North America,Edge Hardware Platforms,14228.96,5495.22,1577.63
100128,20-05-2025,Q1,APAC,Edge Hardware Platforms,23582.05,9978.36,2828.96
100129,21-05-2025,Q1,North America,Edge Hardware Platforms,21736.82,9121.53,2572.77
100130,22-05-2025,Q1,North America,Enterprise Cloud Software,8630.82,1332.4,437.65
100131,23-05-2025,Q1,North America,SaaS Subscriptions,5634.65,533.85,103.72
100132,24-05-2025,Q1,North America,Edge Hardware Platforms,27016.35,9915.84,3440.28
100133,25-05-2025,Q4,North America,SaaS Subscriptions,2309.81,208.73,48.02
100134,26-05-2025,Q4,APAC,SaaS Subscriptions,5455.99,591.15,98.32
100135,27-05-2025,Q2,APAC,Edge Hardware Platforms,24457.92,10410.98,3063.18
100136,28-05-2025,Q2,Europe,Edge Hardware Platforms,26771.65,10077.02,3513.29
100137,29-05-2025,Q3,Europe,Enterprise Cloud Software,12362.47,1865.44,643.74
100138,30-05-2025,Q1,APAC,Enterprise Cloud Software,10061.04,1639.55,485.01
100139,31-05-2025,Q1,Europe,Edge Hardware Platforms,19085.36,7708.35,2312.65
100140,01-06-2025,Q1,North America,Edge Hardware Platforms,11757.36,4363.23,1270.56
100141,02-06-2025,Q1,North America,Edge Hardware Platforms,22122.04,9369.64,2445.83
100142,03-06-2025,Q1,APAC,SaaS Subscriptions,2745.78,287.26,59.73
100143,04-06-2025,Q1,North America,Enterprise Cloud Software,12411.21,1889.41,662.99
100144,05-06-2025,Q2,North America,Edge Hardware Platforms,14032.55,5235.44,1570.84
100145,06-06-2025,Q2,APAC,Edge Hardware Platforms,20461.31,7953.44,2640.59
100146,07-06-2025,Q3,North America,SaaS Subscriptions,4634.81,452.07,92
100147,08-06-2025,Q1,North America,Edge Hardware Platforms,20054.41,7592.14,2598.85
100148,09-06-2025,Q1,North America,Edge Hardware Platforms,28129.44,11531.36,3116.9
100149,10-06-2025,Q1,APAC,Edge Hardware Platforms,16698.11,6197.37,2121.61
100150,11-06-2025,Q2,Europe,Edge Hardware Platforms,27877.85,11794.78,3112.29
100151,12-06-2025,Q2,Europe,Edge Hardware Platforms,12862.56,4841,1609.59
100152,13-06-2025,Q3,Europe,Edge Hardware Platforms,12058.32,4858.52,1411.93
100153,14-06-2025,Q1,Europe,Edge Hardware Platforms,20045.77,8082.23,2398.93
100154,15-06-2025,Q1,Europe,Edge Hardware Platforms,10244.06,4178.3,1245.39
100155,16-06-2025,Q1,Europe,Edge Hardware Platforms,26535.98,11588.95,3084.03
100156,17-06-2025,Q3,Europe,Edge Hardware Platforms,28945.67,10775.55,3533.38
100157,18-06-2025,Q2,Europe,Edge Hardware Platforms,10362.2,4453.36,1350.93
100158,19-06-2025,Q1,Europe,Edge Hardware Platforms,28449.99,11851.67,3176.75
100159,20-06-2025,Q2,Europe,Edge Hardware Platforms,18482.61,7742.65,2410.59
100160,21-06-2025,Q4,APAC,Edge Hardware Platforms,12264.76,5381.62,1571.53
100161,22-06-2025,Q2,North America,SaaS Subscriptions,7219.38,724.66,147.02
100162,23-06-2025,Q3,North America,Enterprise Cloud Software,8351.97,1328.68,376.23
100163,24-06-2025,Q1,North America,Edge Hardware Platforms,20747.91,8996.05,2413.24
100164,25-06-2025,Q1,North America,Edge Hardware Platforms,19044.36,7198.17,2263.58
100165,26-06-2025,Q1,North America,Enterprise Cloud Software,9983.68,1473.27,540.6
100166,27-06-2025,Q4,APAC,Enterprise Cloud Software,7200.97,1018.08,361.14
100167,28-06-2025,Q1,APAC,Edge Hardware Platforms,21146.11,9068.52,2555.33
100168,29-06-2025,Q3,North America,Enterprise Cloud Software,8099.37,1189.96,399.04
100169,30-06-2025,Q1,APAC,Edge Hardware Platforms,19364.64,7939.47,2266.93
100170,01-07-2025,Q1,APAC,Edge Hardware Platforms,15880.89,6624.31,1916.24
100171,02-07-2025,Q2,Europe,Edge Hardware Platforms,21192.81,7892.61,2381.36
100172,03-07-2025,Q1,APAC,SaaS Subscriptions,4239.86,404.55,87.24
100173,04-07-2025,Q4,Europe,Enterprise Cloud Software,6561.53,1026.74,338.5
100174,05-07-2025,Q3,North America,Enterprise Cloud Software,7310.75,1134.31,330.42
100175,06-07-2025,Q1,North America,Edge Hardware Platforms,13570.89,5594.19,1543.23
100176,07-07-2025,Q1,North America,Enterprise Cloud Software,12222.67,1963.83,651.5
100177,08-07-2025,Q2,North America,Edge Hardware Platforms,14099.69,5406.55,1826.08
100178,09-07-2025,Q2,North America,Enterprise Cloud Software,7078.86,961.28,331.39
100179,10-07-2025,Q3,Europe,Edge Hardware Platforms,27853.43,11848.72,3236.67
100180,11-07-2025,Q3,North America,Edge Hardware Platforms,21805.9,8317.75,2681.68
100181,12-07-2025,Q4,APAC,Edge Hardware Platforms,27221.36,10277.72,3576.59
100182,13-07-2025,Q1,APAC,Enterprise Cloud Software,10657.77,1753.85,529.8
100183,14-07-2025,Q2,North America,Edge Hardware Platforms,20249.15,8491.18,2526.53
100184,15-07-2025,Q4,Europe,Enterprise Cloud Software,11450.54,1690.69,530.42
100185,16-07-2025,Q1,APAC,Edge Hardware Platforms,23663.68,10076.15,2856.49
100186,17-07-2025,Q3,APAC,Edge Hardware Platforms,11343.51,4451.42,1360.53
100187,18-07-2025,Q1,Europe,Enterprise Cloud Software,6400.19,914.65,305.06
100188,19-07-2025,Q2,Europe,Enterprise Cloud Software,11330.98,1697.7,574.85
100189,20-07-2025,Q2,APAC,Edge Hardware Platforms,25418.23,10008.76,2961.04
100190,21-07-2025,Q3,APAC,Enterprise Cloud Software,5903.37,933.5,269.68
100191,22-07-2025,Q3,North America,Edge Hardware Platforms,24380.92,9356.66,2964.57
100192,23-07-2025,Q3,Europe,Edge Hardware Platforms,28736.59,12029.3,3251.79
100193,24-07-2025,Q4,North America,Enterprise Cloud Software,10950.78,1495.25,547.14
100194,25-07-2025,Q4,Europe,Edge Hardware Platforms,25418.24,9367.33,2791.01
100195,26-07-2025,Q1,Europe,Edge Hardware Platforms,23768.05,9383.3,2707.51
100196,27-07-2025,Q1,APAC,Edge Hardware Platforms,23893.93,9122.02,2919.01
100197,28-07-2025,Q1,North America,Enterprise Cloud Software,14173.14,1971.55,772.47
100198,29-07-2025,Q2,Europe,Enterprise Cloud Software,10419.01,1679.42,545.15
100199,30-07-2025,Q3,APAC,Edge Hardware Platforms,23845.53,10204.35,2718.2
100200,31-07-2025,Q4,Europe,Enterprise Cloud Software,14876.68,2429.69,675.32
100101,23-04-2025,Q1,Europe,Edge Hardware Platforms,28383.53,10405.97,3662.61
100102,24-04-2025,Q2,Europe,Enterprise Cloud Software,9112.55,1442.77,453.84
100103,25-04-2025,Q1,APAC,Edge Hardware Platforms,24991.57,9782.68,3196.42
100104,26-04-2025,Q1,Europe,Enterprise Cloud Software,5368.22,746.27,242.3
100105,27-04-2025,Q3,North America,Edge Hardware Platforms,20686.93,8688.36,2687.56
100106,28-04-2025,Q1,Europe,Edge Hardware Platforms,25141.62,9810.97,2860.77
100107,29-04-2025,Q2,North America,SaaS Subscriptions,5637.05,533.11,116.61
100108,30-04-2025,Q1,Europe,Edge Hardware Platforms,12271.15,5076.89,1478.52
100109,01-05-2025,Q1,APAC,Edge Hardware Platforms,27043.63,10929.75,3284.79
100110,02-05-2025,Q1,APAC,Edge Hardware Platforms,12680.3,4594.11,1599.28
100111,03-05-2025,Q3,Europe,Edge Hardware Platforms,14259.28,5288.91,1544.98
100112,04-05-2025,Q1,North America,Edge Hardware Platforms,17844.88,7048.69,2314.48
100113,05-05-2025,Q1,North America,Edge Hardware Platforms,25673.06,10056.74,3155.99
100114,06-05-2025,Q1,APAC,SaaS Subscriptions,2882.44,312.84,57.56
100115,07-05-2025,Q1,North America,Edge Hardware Platforms,29600.65,11822.78,3430.42
100116,08-05-2025,Q4,Europe,Enterprise Cloud Software,5758.63,799.68,266.51
100117,09-05-2025,Q4,North America,Enterprise Cloud Software,11408.75,1602.43,552.83
100118,10-05-2025,Q3,APAC,Edge Hardware Platforms,23351.15,8728.32,2629.69
100119,11-05-2025,Q3,North America,Enterprise Cloud Software,7785.9,1092.44,357.27
100120,12-05-2025,Q1,Europe,Edge Hardware Platforms,27884.35,10325.57,3232.42
100121,13-05-2025,Q1,North America,Enterprise Cloud Software,9811.45,1526.99,491.72
100122,14-05-2025,Q1,North America,Edge Hardware Platforms,10051.9,4316.93,1105.99
100123,15-05-2025,Q2,Europe,SaaS Subscriptions,5219.54,566.22,98.88
100124,16-05-2025,Q1,APAC,Edge Hardware Platforms,24410.32,8909.46,2722.87
100125,17-05-2025,Q1,Europe,SaaS Subscriptions,5070.06,510.26,93.43
100126,18-05-2025,Q2,Europe,Edge Hardware Platforms,14849.41,5665.64,1738.2
100127,19-05-2025,Q2,North America,Edge Hardware Platforms,14228.96,5495.22,1577.63
100128,20-05-2025,Q1,APAC,Edge Hardware Platforms,23582.05,9978.36,2828.96
100129,21-05-2025,Q1,North America,Edge Hardware Platforms,21736.82,9121.53,2572.77
100130,22-05-2025,Q1,North America,Enterprise Cloud Software,8630.82,1332.4,437.65
100131,23-05-2025,Q1,North America,SaaS Subscriptions,5634.65,533.85,103.72
100132,24-05-2025,Q1,North America,Edge Hardware Platforms,27016.35,9915.84,3440.28
100133,25-05-2025,Q4,North America,SaaS Subscriptions,2309.81,208.73,48.02
100134,26-05-2025,Q4,APAC,SaaS Subscriptions,5455.99,591.15,98.32
100135,27-05-2025,Q2,APAC,Edge Hardware Platforms,24457.92,10410.98,3063.18
100136,28-05-2025,Q2,Europe,Edge Hardware Platforms,26771.65,10077.02,3513.29
100137,29-05-2025,Q3,Europe,Enterprise Cloud Software,12362.47,1865.44,643.74
100138,30-05-2025,Q1,APAC,Enterprise Cloud Software,10061.04,1639.55,485.01
100139,31-05-2025,Q1,Europe,Edge Hardware Platforms,19085.36,7708.35,2312.65
100140,01-06-2025,Q1,North America,Edge Hardware Platforms,11757.36,4363.23,1270.56
100141,02-06-2025,Q1,North America,Edge Hardware Platforms,22122.04,9369.64,2445.83
100142,03-06-2025,Q1,APAC,SaaS Subscriptions,2745.78,287.26,59.73
100143,04-06-2025,Q1,North America,Enterprise Cloud Software,12411.21,1889.41,662.99
100144,05-06-2025,Q2,North America,Edge Hardware Platforms,14032.55,5235.44,1570.84
100145,06-06-2025,Q2,APAC,Edge Hardware Platforms,20461.31,7953.44,2640.59
100146,07-06-2025,Q3,North America,SaaS Subscriptions,4634.81,452.07,92
100147,08-06-2025,Q1,North America,Edge Hardware Platforms,20054.41,7592.14,2598.85
100148,09-06-2025,Q1,North America,Edge Hardware Platforms,28129.44,11531.36,3116.9
100149,10-06-2025,Q1,APAC,Edge Hardware Platforms,16698.11,6197.37,2121.61
100150,11-06-2025,Q2,Europe,Edge Hardware Platforms,27877.85,11794.78,3112.29
100151,12-06-2025,Q2,Europe,Edge Hardware Platforms,12862.56,4841,1609.59
100152,13-06-2025,Q3,Europe,Edge Hardware Platforms,12058.32,4858.52,1411.93
100153,14-06-2025,Q1,Europe,Edge Hardware Platforms,20045.77,8082.23,2398.93
100154,15-06-2025,Q1,Europe,Edge Hardware Platforms,10244.06,4178.3,1245.39
100155,16-06-2025,Q1,Europe,Edge Hardware Platforms,26535.98,11588.95,3084.03
100156,17-06-2025,Q3,Europe,Edge Hardware Platforms,28945.67,10775.55,3533.38
100157,18-06-2025,Q2,Europe,Edge Hardware Platforms,10362.2,4453.36,1350.93
100158,19-06-2025,Q1,Europe,Edge Hardware Platforms,28449.99,11851.67,3176.75
100159,20-06-2025,Q2,Europe,Edge Hardware Platforms,18482.61,7742.65,2410.59
100160,21-06-2025,Q4,APAC,Edge Hardware Platforms,12264.76,5381.62,1571.53
100161,22-06-2025,Q2,North America,SaaS Subscriptions,7219.38,724.66,147.02
100162,23-06-2025,Q3,North America,Enterprise Cloud Software,8351.97,1328.68,376.23
100163,24-06-2025,Q1,North America,Edge Hardware Platforms,20747.91,8996.05,2413.24
100164,25-06-2025,Q1,North America,Edge Hardware Platforms,19044.36,7198.17,2263.58
100165,26-06-2025,Q1,North America,Enterprise Cloud Software,9983.68,1473.27,540.6
100166,27-06-2025,Q4,APAC,Enterprise Cloud Software,7200.97,1018.08,361.14
100167,28-06-2025,Q1,APAC,Edge Hardware Platforms,21146.11,9068.52,2555.33
100168,29-06-2025,Q3,North America,Enterprise Cloud Software,8099.37,1189.96,399.04
100169,30-06-2025,Q1,APAC,Edge Hardware Platforms,19364.64,7939.47,2266.93
100170,01-07-2025,Q1,APAC,Edge Hardware Platforms,15880.89,6624.31,1916.24
100171,02-07-2025,Q2,Europe,Edge Hardware Platforms,21192.81,7892.61,2381.36
100172,03-07-2025,Q1,APAC,SaaS Subscriptions,4239.86,404.55,87.24
100173,04-07-2025,Q4,Europe,Enterprise Cloud Software,6561.53,1026.74,338.5
100174,05-07-2025,Q3,North America,Enterprise Cloud Software,7310.75,1134.31,330.42
100175,06-07-2025,Q1,North America,Edge Hardware Platforms,13570.89,5594.19,1543.23
100176,07-07-2025,Q1,North America,Enterprise Cloud Software,12222.67,1963.83,651.5
100177,08-07-2025,Q2,North America,Edge Hardware Platforms,14099.69,5406.55,1826.08
100178,09-07-2025,Q2,North America,Enterprise Cloud Software,7078.86,961.28,331.39
100179,10-07-2025,Q3,Europe,Edge Hardware Platforms,27853.43,11848.72,3236.67
100180,11-07-2025,Q3,North America,Edge Hardware Platforms,21805.9,8317.75,2681.68
100181,12-07-2025,Q4,APAC,Edge Hardware Platforms,27221.36,10277.72,3576.59
100182,13-07-2025,Q1,APAC,Enterprise Cloud Software,10657.77,1753.85,529.8
100183,14-07-2025,Q2,North America,Edge Hardware Platforms,20249.15,8491.18,2526.53
100184,15-07-2025,Q4,Europe,Enterprise Cloud Software,11450.54,1690.69,530.42
100185,16-07-2025,Q1,APAC,Edge Hardware Platforms,23663.68,10076.15,2856.49
100186,17-07-2025,Q3,APAC,Edge Hardware Platforms,11343.51,4451.42,1360.53
100187,18-07-2025,Q1,Europe,Enterprise Cloud Software,6400.19,914.65,305.06
100188,19-07-2025,Q2,Europe,Enterprise Cloud Software,11330.98,1697.7,574.85
100189,20-07-2025,Q2,APAC,Edge Hardware Platforms,25418.23,10008.76,2961.04
100190,21-07-2025,Q3,APAC,Enterprise Cloud Software,5903.37,933.5,269.68
100191,22-07-2025,Q3,North America,Edge Hardware Platforms,24380.92,9356.66,2964.57
100192,23-07-2025,Q3,Europe,Edge Hardware Platforms,28736.59,12029.3,3251.79
100193,24-07-2025,Q4,North America,Enterprise Cloud Software,10950.78,1495.25,547.14
100194,25-07-2025,Q4,Europe,Edge Hardware Platforms,25418.24,9367.33,2791.01
100195,26-07-2025,Q1,Europe,Edge Hardware Platforms,23768.05,9383.3,2707.51
100196,27-07-2025,Q1,APAC,Edge Hardware Platforms,23893.93,9122.02,2919.01
100197,28-07-2025,Q1,North America,Enterprise Cloud Software,14173.14,1971.55,772.47
100198,29-07-2025,Q2,Europe,Enterprise Cloud Software,10419.01,1679.42,545.15
100199,30-07-2025,Q3,APAC,Edge Hardware Platforms,23845.53,10204.35,2718.2
100200,31-07-2025,Q4,Europe,Enterprise Cloud Software,14876.68,2429.69,675.32
100201,01-08-2025,Q4,Europe,SaaS Subscriptions,3083.45,312.54,66.79
100202,02-08-2025,Q4,North America,Edge Hardware Platforms,15946.98,6920.22,2093.92
100203,03-08-2025,Q4,APAC,Edge Hardware Platforms,27240.85,11647.21,3150.63
100204,04-08-2025,Q3,APAC,Enterprise Cloud Software,10962.7,1555.61,506.54
100205,05-08-2025,Q2,North America,Edge Hardware Platforms,16797.5,7021.04,1840.48
100206,06-08-2025,Q1,Europe,Edge Hardware Platforms,16375.05,6714.94,2116.7
100207,07-08-2025,Q3,Europe,Enterprise Cloud Software,5244.01,844.83,237.1
100208,08-08-2025,Q1,APAC,Edge Hardware Platforms,28781.35,12200.49,3797.71
100209,09-08-2025,Q4,North America,Edge Hardware Platforms,18038.62,7186.41,2219.83
100210,10-08-2025,Q4,APAC,SaaS Subscriptions,6609.64,650.09,130.11
100211,11-08-2025,Q1,Europe,Enterprise Cloud Software,6104.74,889.09,292.25
100212,12-08-2025,Q2,North America,Enterprise Cloud Software,5420.93,734.73,297.49
100213,13-08-2025,Q3,Europe,Edge Hardware Platforms,23592.95,8905.4,3085.94
100214,14-08-2025,Q2,APAC,Enterprise Cloud Software,9175.81,1480.73,499.6
100215,15-08-2025,Q4,Europe,Edge Hardware Platforms,13340.68,5860.47,1514.97
100216,16-08-2025,Q4,APAC,Edge Hardware Platforms,22154.74,8884.38,2515.36
